,Country ,Year,GDP  in US$,GDP per capita (current US$),GDP growth (annual %),Imports of goods and services (% of GDP),Exports of goods and services (% of GDP),"Total reserves (includes gold, current US$)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Inflation, consumer prices (annual %)","Population, total",Population growth (annual %),"Life expectancy at birth, total (years)",,,,,
33,China,1991,383.0B,0.3 K,9.262786084,10.62996355,13.43637117,48.2B,2.369999886,3.556685652,1.2B,1.364434008,69.242,,,,,
34,China,1992,427.0B,0.4 K,14.22452959,12.54203293,13.55554446,24.9B,2.369999886,6.35398134,1.2B,1.225536228,69.355,,,,,
35,China,1993,445.0B,0.4 K,13.8837293,13.9025469,11.99788329,27.3B,2.690000057,14.61007864,1.2B,1.149619431,69.496,,,,,
36,China,1994,564.0B,0.5 K,13.03680663,17.23306642,18.53674857,57.8B,2.900000095,24.25698972,1.2B,1.130260632,69.67,,,,,
37,China,1995,735.0B,0.6 K,10.95395434,16.32444624,17.95252283,80.3B,3,16.79122517,1.2B,1.086509151,69.885,,,,,
38,China,1996,864.0B,0.7 K,9.922556752,15.89144992,17.92329555,112.0B,3.119999886,8.313160289,1.2B,1.048141514,70.14,,,,,
39,China,1997,962.0B,0.8 K,9.236779892,15.0398529,19.49316446,146.0B,3.230000019,2.786465055,1.2B,1.023450024,70.428,,,,,
40,China,1998,1030.0B,0.8 K,7.845951788,14.08220459,18.34210003,153.0B,3.24000001,-0.773186012,1.2B,0.959550406,70.737,,,,,"[<999950]0.0,""K"";[<999950000]0.0,,""M"";0.0,,,""B"""
41,China,1999,1090.0B,0.9 K,7.661651501,15.361685,18.16247676,161.0B,3.25,-1.401472683,1.3B,0.865851393,71.063,,,,,
42,China,2000,1210.0B,1.0 K,8.490093406,18.51731765,20.8936972,172.0B,3.25999999,0.347811227,1.3B,0.787956593,71.397,,,,,
43,China,2001,1340.0B,1.1 K,8.335733478,18.21521353,20.31214574,220.0B,3.799999952,0.719125609,1.3B,0.726380638,71.732,,,,,
44,China,2002,1470.0B,1.1 K,9.13363079,20.10265796,22.64474567,298.0B,4.239999771,-0.731970902,1.3B,0.669999568,72.061,,,,,
45,China,2003,1660.0B,1.3 K,10.03803048,24.82323147,26.98075653,416.0B,4.579999924,1.127603487,1.3B,0.622860936,72.381,,,,,
46,China,2004,1960.0B,1.5 K,10.11362138,28.44418664,31.06133758,623.0B,4.489999771,3.824637431,1.3B,0.593932815,72.689,,,,,
47,China,2005,2290.0B,1.8 K,11.39459181,28.3780353,33.82985757,831.0B,4.519999981,1.776414077,1.3B,0.58812499,72.985,,,,,
48,China,2006,2750.0B,2.1 K,12.72095567,28.44385835,36.03502555,1080.0B,4.429999828,1.649430995,1.3B,0.558374367,73.271,,,,,
49,China,2007,3550.0B,2.7 K,14.23086093,26.75856495,35.43479853,1550.0B,4.349999905,4.816767674,1.3B,0.522271866,73.553,,,,,
50,China,2008,4590.0B,3.5 K,9.65067892,25.01000133,32.60271402,1970.0B,4.590000153,5.92525137,1.3B,0.512386932,73.835,,,,,
51,China,2009,5100.0B,3.8 K,9.398725632,20.43501444,24.74985594,2450.0B,4.71999979,-0.728165251,1.3B,0.497381401,74.119,,,,,
52,China,2010,6090.0B,4.6 K,10.63587106,23.53174494,27.18533272,2910.0B,4.53000021,3.175324753,1.3B,0.482959689,74.409,,,,,
53,China,2011,7550.0B,5.6 K,9.550832179,24.17271524,26.56818935,3250.0B,4.550000191,5.553898923,1.3B,0.546457595,74.708,,,,,
